ds,actual,forecast,abs_error,squared_error,ape_%,spe_%^2
2016-01-01,6754.6,6725.78515625,28.814843750000364,830.295220336935,0.4265958568975271,0.001819840251221354
2017-01-01,6128.4,6700.63720703125,572.2372070312504,327455.4211109261,9.337465032165824,0.8718825322691952
2018-01-01,5872.5,6441.837890625,569.337890625,324145.63370132446,9.694983237547893,0.9399269997633461
2019-01-01,6181.4,6050.45068359375,130.94931640624964,17147.72346726408,2.1184410717030064,0.04487792574278183
2020-01-01,6354.9,6121.76708984375,233.13291015624964,54350.95379792197,3.6685535595564,0.13458285219333932
2021-01-01,6566.7,6222.1123046875,344.5876953124998,118740.67976078021,5.24750171794813,0.2753627427986857
2022-01-01,5527.8,6435.77197265625,907.9719726562498,824413.1031292817,16.425557593549872,2.697989422590239
2023-01-01,5073.3,5808.74560546875,735.4456054687498,540880.238603296,14.496394959272068,2.101454668152086
2024-01-01,4871.9,5107.75048828125,235.85048828125036,55625.452822504216,4.841037137076918,0.23435640562557886
2025-01-01,4523.3,4722.39794921875,199.09794921874982,39639.99338311188,4.401608321772817,0.19374155818299713
