item_id,timestamp,target,google_trends_ewma3y,google_trends_ewma2y,google_trends_lag1y
international,2007-01-01,962.8,943.5,910.6666666666666,1042.0
international,2008-01-01,926.9,826.25,776.2222222222222,845.0
international,2009-01-01,1060.2,803.625,779.4074074074074,709.0
international,2010-01-01,992,760.3125,737.8024691358025,781.0
international,2011-01-01,1106.1,685.65625,653.2674897119342,717.0
international,2012-01-01,1241.3,630.828125,601.7558299039781,611.0
international,2013-01-01,1215.7,570.9140625,541.251943301326,576.0
international,2014-01-01,1218.7,511.45703125,481.7506477671087,511.0
international,2015-01-01,1404.3,466.228515625,441.25021592236953,452.0
international,2016-01-01,1521.2,408.1142578125,380.41673864078984,421.0
international,2017-01-01,1771.4,366.55712890625,343.47224621359663,350.0
international,2018-01-01,1702.7,337.278564453125,319.82408207119886,325.0
international,2019-01-01,1512.3,309.1392822265625,293.9413606903996,308.0
international,2020-01-01,1171.3,275.56964111328125,259.31378689679985,281.0
international,2021-01-01,856,227.28482055664062,205.7712622989333,242.0
international,2022-01-01,638.4,215.6424102783203,204.59042076631113,179.0
international,2023-01-01,911.4,219.32120513916016,216.86347358877038,204.0
international,2024-01-01,1100.4,228.66060256958008,230.9544911962568,223.0
international,2025-01-01,966.2,147.83030128479004,121.65149706541894,238.0
international,2026-01-01,0,0,0,0
