ds,y_actual,y_forecast
2016-01-01,1521.2,1404.3
2017-01-01,1771.4,1521.2
2018-01-01,1702.7,1771.4
2019-01-01,1512.3,1702.7
2020-01-01,1171.3,1512.3
2021-01-01,856.0,1171.3
2022-01-01,638.4,856.0
2023-01-01,911.4,638.4
2024-01-01,1100.4,911.4
2025-01-01,966.2,1100.4
