Actual,Forecast,p90,p70,p50,p30,p10
1521.2,1414.350341796875,1489.928662109375,1438.6466552734375,1414.350341796875,1377.58134765625,1316.8681640625
1771.4,1533.81201171875,1638.3742187500002,1563.3090087890625,1533.8119506835938,1496.9089111328126,1445.2095092773438
1702.7,1849.0869140625,2522.1550292968755,2063.57861328125,1849.0869140625,1625.0776611328124,1326.048095703125
1512.3,1766.025390625,1921.6951782226563,1829.5553466796875,1766.0254516601562,1719.9315185546875,1605.6345947265625
1171.3,1468.596923828125,1858.2218139648437,1641.1190307617187,1468.596923828125,1326.4267822265624,1172.1094116210938
856.0,1115.32373046875,2130.412133789063,1317.2270385742188,1115.32373046875,813.5608215332031,467.1335693359375
638.4,806.0936279296875,1215.2821044921875,943.3826599121094,806.0935974121094,701.8512634277344,532.0980712890625
911.4,610.4693603515625,818.1203002929688,712.5835510253906,610.4693908691406,553.5537963867188,416.2059265136719
1100.4,909.3287353515625,1185.3782470703125,1000.7711181640625,909.3287048339844,811.6383850097657,678.1333801269532
966.2,1229.4173583984375,1426.350085449219,1312.5553955078126,1229.4173583984375,1149.4108154296875,1041.1996826171876
