Actual,Forecast,p90,p70,p50,p30,p10
1521.2,1378.906494140625,1575.7279541015625,1451.0932739257812,1378.9064331054688,1337.0456176757812,1233.6130493164062
1771.4,1518.1553955078125,1669.0102416992188,1585.39912109375,1518.1553955078125,1476.1845947265624,1387.482421875
1702.7,1799.2366943359375,1979.3794555664062,1862.799365234375,1799.2366943359375,1730.8351928710938,1652.90517578125
1512.3,1735.74755859375,1916.6446044921877,1803.4455200195312,1735.74755859375,1636.8277221679687,1533.1437622070312
1171.3,1323.3076171875,1604.9904418945312,1423.1814697265625,1323.3076782226562,1234.2264038085937,1051.3289672851563
856.0,957.857421875,1269.8371093750002,1074.719189453125,957.857421875,838.1207946777344,689.5833557128907
638.4,831.7515869140625,1017.2014709472656,892.9515380859375,831.7515869140625,789.3349609375,679.1095397949218
911.4,597.9364013671875,791.3598571777344,656.710693359375,597.9364318847656,519.8234375,403.48773193359375
1100.4,999.9384765625,1412.8451416015625,1094.3371337890626,999.9384765625,886.3884033203125,740.5263854980469
966.2,1225.07373046875,1440.8131469726566,1312.39052734375,1225.07373046875,1156.4598022460937,1053.5427001953126
