ds,actual,forecast,abs_error,squared_error,ape_%,spe_%^2
2016-01-01,1521.2,1335.755615234375,185.44438476562505,34389.61984110119,12.190664262794177,1.4861229516816712
2017-01-01,1771.4,1497.6822509765625,273.7177490234376,74921.40613045757,15.452057639349531,2.387660852897802
2018-01-01,1702.7,1772.7003173828125,70.00031738281245,4900.044433694476,4.111136276667202,0.16901441485329066
2019-01-01,1512.3,1747.0084228515625,234.70842285156255,55088.04375746789,15.519964481357043,2.4086929750258417
2020-01-01,1171.3,1537.4989013671875,366.19890136718755,134101.63536253516,31.26431327304598,9.774572844351589
2021-01-01,856.0,1163.51025390625,307.51025390625,94562.55625748634,35.92409508250584,12.905406074969203
2022-01-01,638.4,752.1129150390625,113.71291503906252,12930.627046681051,17.812173408374456,3.172735215300021
2023-01-01,911.4,519.8898315429688,391.5101684570312,153280.21200525298,42.95700773063761,18.453045131700595
2024-01-01,1100.4,937.608642578125,162.7913574218751,26501.026051256686,14.793834734812346,2.188575461609403
2025-01-01,966.2,1126.7764892578125,160.57648925781245,25784.80890236436,16.619384108653744,2.7620392815097254
