ds,actual,forecast,abs_error,squared_error,ape_%,spe_%^2
2016-01-01,1521.2,1333.4456049499552,187.75439505004488,35251.71286060831,12.342518738498875,1.5233776881019585
2017-01-01,1771.4,1430.5596904300894,340.8403095699107,116172.11662771254,19.24129556113304,3.7022745487087803
2018-01-01,1702.7,1619.342367004671,83.35763299532914,6948.494978583985,4.895614788003121,0.23967044152514838
2019-01-01,1512.3,1680.4628858982035,168.1628858982035,28278.756193612215,11.119677702717947,1.236472322123227
2020-01-01,1171.3,1609.1637681085424,437.86376810854244,191724.67942221143,37.382717331899805,13.97467555116722
2021-01-01,856.0,1214.0832125283052,358.08321252830524,128223.58709459142,41.832150996297344,17.499288569770204
2022-01-01,638.4,752.4606019853561,114.06060198535613,13009.820925261827,17.866635649335233,3.1921666942609663
2023-01-01,911.4,521.4283504255072,389.97164957449274,152077.88747185096,42.78819942665051,18.30830010174815
2024-01-01,1100.4,1086.4818227482397,13.918177251760426,193.7156580114214,1.2648289032861164,0.0159979215458796
2025-01-01,966.2,1198.3267486543548,232.12674865435474,53882.82744084198,24.0247100656546,5.771866937387653
