ds,actual,forecast,abs_error,squared_error,ape_%,spe_%^2
2016-01-01,1521.2,1339.0448490094686,182.1551509905314,33180.4990323833,11.97443800884377,1.4338716562764233
2017-01-01,1771.4,1441.8896487005957,329.5103512994044,108577.07161345691,18.60169082643132,3.4602290160213913
2018-01-01,1702.7,1633.3844363800513,69.31556361994876,4804.647359951165,4.070920515648603,0.1657239384472869
2019-01-01,1512.3,1686.1571736472579,173.85717364725792,30226.316828612795,11.496209326671819,1.3216282888265611
2020-01-01,1171.3,1625.159764529762,453.85976452976206,205988.68585901105,38.7483791112236,15.014368837471096
2021-01-01,856.0,1264.9460394838188,408.9460394838188,167236.8632095011,47.774070033156406,22.82361767532933
2022-01-01,638.4,799.8402788285057,161.4402788285057,26062.96362822567,25.288264227522827,6.394963076410106
2023-01-01,911.4,533.1952556080416,378.20474439195834,143038.82868058654,41.49711920034654,17.220109019277693
2024-01-01,1100.4,978.6023520288919,121.79764797110818,14834.66705129399,11.068488546992745,1.225114387149096
2025-01-01,966.2,1072.962745892357,106.76274589235686,11398.283910475962,11.049756354000916,1.2209711548278364
