unique_id,ds,y,AutoARIMA
domestic,2016-01-01,6754.6,6798.005924695462
domestic,2017-01-01,6128.4,6917.1712499999985
domestic,2018-01-01,5872.5,6661.16021440435
domestic,2019-01-01,6181.4,6377.501696322655
domestic,2020-01-01,6354.9,5842.886506564784
domestic,2021-01-01,6566.7,5926.31838177534
domestic,2022-01-01,5527.8,6161.442474066517
domestic,2023-01-01,5073.3,6252.347471288749
domestic,2024-01-01,4871.9,5893.201912718418
domestic,2025-01-01,4523.3,5701.15932540372
