ds,actual,forecast,abs_error,squared_error,ape_%,spe_%^2
2016-01-01,6754.6,6808.182543951538,53.582543951537446,2871.089016318442,0.7932748638192852,0.006292850095675056
2017-01-01,6128.4,6696.71282591869,568.3128259186906,322979.4681036879,9.27342905030172,0.8599648635097984
2018-01-01,5872.5,6550.524815469169,678.024815469169,459717.6503920006,11.545761012672099,1.3330459736173905
2019-01-01,6181.4,6190.695040456343,9.295040456343486,86.39777708506212,0.15037112072254644,0.00022611473947354639
2020-01-01,6354.9,6143.779116191152,211.1208838088478,44572.02758022901,3.322174759773526,0.11036845134476285
2021-01-01,6566.7,5980.427029615955,586.272970384045,343715.9958029314,8.927969457780089,0.7970863863905409
2022-01-01,5527.8,6207.9971854673095,680.1971854673093,462668.21111764916,12.305025244533255,1.5141364626860068
2023-01-01,5073.3,5832.819714123439,759.5197141234385,576870.1961421497,14.970920586668212,2.241284632123261
2024-01-01,4871.9,5643.52516931565,771.62516931565,595405.4019214056,15.838280123065951,2.50851117256706
2025-01-01,4523.3,5529.579573738147,1006.2795737381466,1012598.580522626,22.24658045537874,4.949103419576393
